Time,FPS,RTT,LoadRatio,Jitter,LossRate
1.34,126.45,172.38,0.00,0.88,0.0018
1.35,127.61,172.63,0.00,4.86,0.0016
1.35,126.52,172.43,0.00,0.68,0.0020
1.36,124.15,172.64,0.00,4.49,0.0019
1.37,123.88,172.52,0.00,1.42,0.0015
1.38,121.94,172.34,0.00,0.77,0.0020
1.40,115.98,172.19,0.00,0.78,0.0018
1.41,113.11,172.44,0.00,4.74,0.0013
1.42,112.05,172.44,0.00,2.43,0.0012
1.43,108.08,172.29,0.00,0.94,0.0020
1.44,106.96,172.52,0.00,4.62,0.0017
1.46,104.26,172.73,0.00,4.55,0.0014
1.47,101.49,172.60,0.00,1.45,0.0020
1.50,95.03,172.74,0.00,4.05,0.0015
1.51,94.98,172.85,0.00,3.77,0.0017
1.52,93.93,173.04,0.00,4.83,0.0015
1.53,92.08,172.75,0.00,0.06,0.0014
1.54,91.52,172.47,0.00,0.02,0.0018
1.56,90.04,172.26,0.00,0.34,0.0017
1.57,88.82,172.50,0.00,4.62,0.0020
1.58,88.88,172.58,0.00,3.34,0.0021
1.59,88.45,172.57,0.00,2.52,0.0014
1.60,89.00,172.78,0.00,4.67,0.0017
1.62,87.59,172.52,0.00,0.15,0.0015
1.63,87.41,172.49,0.00,2.19,0.0017
1.64,88.13,172.64,0.00,3.97,0.0021
1.65,86.64,172.43,0.00,0.60,0.0012
1.66,87.26,172.33,0.00,1.39,0.0014
1.67,87.14,172.37,0.00,2.76,0.0013
1.70,82.84,172.44,0.00,3.02,0.0016
1.71,82.73,172.50,0.00,3.05,0.0019
1.72,83.09,172.47,0.00,2.20,0.0017
1.73,84.75,172.26,0.00,0.38,0.0017
1.74,85.35,172.53,0.00,4.92,0.0014
1.75,86.18,172.28,0.00,0.11,0.0014
1.76,86.19,172.31,0.00,2.52,0.0011
1.77,88.32,172.28,0.00,2.04,0.0018
1.78,88.86,172.27,0.00,2.21,0.0017
1.80,89.44,172.38,0.00,3.32,0.0016
1.80,92.71,172.60,0.00,4.57,0.0018
1.81,94.43,172.50,0.00,1.67,0.0019
1.82,97.10,172.35,0.00,1.00,0.0012
1.83,99.26,172.56,0.00,4.38,0.0016
1.84,100.68,172.41,0.00,1.12,0.0018
1.85,103.47,172.47,0.00,2.97,0.0013
1.85,105.11,172.33,0.00,1.05,0.0014
1.86,108.52,172.15,0.00,0.60,0.0019
1.87,107.85,172.08,0.00,1.40,0.0020
1.89,104.14,172.00,0.00,1.25,0.0012
1.91,98.52,172.00,0.00,2.07,0.0014
1.92,96.15,171.86,0.00,0.54,0.0015
1.93,94.70,171.71,0.00,0.38,0.0011
1.94,93.57,172.03,0.00,4.92,0.0013
1.95,97.25,171.89,0.00,0.57,0.0014
1.96,99.56,172.14,0.00,4.42,0.0011
1.97,103.03,171.93,0.00,0.04,0.0015
1.97,107.40,172.22,0.00,4.87,0.0020
1.98,111.11,172.47,0.00,4.74,0.0018
1.99,111.79,172.42,0.00,1.91,0.0017
2.00,115.19,172.64,0.00,4.66,0.0013
2.00,118.22,172.73,0.00,3.56,0.0020
2.01,120.59,172.75,0.00,2.90,0.0021
2.02,120.20,172.59,0.00,1.10,0.0021
2.03,122.59,172.57,0.00,2.47,0.0012
2.03,124.05,172.70,0.00,3.83,0.0017
2.04,125.57,172.85,0.00,4.19,0.0020
2.05,127.39,173.03,0.00,4.66,0.0013
2.06,125.36,173.07,0.00,3.39,0.0012
2.06,126.43,172.96,0.00,1.98,0.0021
2.07,128.18,172.79,0.00,1.29,0.0012
2.08,128.27,172.62,0.00,1.13,0.0014
2.09,127.48,172.42,0.00,0.55,0.0021
2.10,123.08,172.67,0.00,4.93,0.0016
2.11,124.32,172.86,0.00,4.54,0.0015
2.11,124.00,172.85,0.00,2.76,0.0014
2.12,125.58,173.02,0.00,4.58,0.0019
2.13,126.43,173.08,0.00,3.59,0.0020
2.14,128.54,172.88,0.00,1.09,0.0020
2.14,130.45,172.67,0.00,0.84,0.0016
2.15,129.24,172.65,0.00,2.47,0.0013
2.16,129.75,172.74,0.00,3.56,0.0015
2.17,131.19,172.83,0.00,3.61,0.0019
2.17,132.22,173.02,0.00,4.73,0.0020
2.18,131.73,173.03,0.00,3.16,0.0020
2.19,132.60,173.04,0.00,3.11,0.0018
2.19,133.12,172.99,0.00,2.53,0.0019
2.20,134.18,172.84,0.00,1.47,0.0021
2.21,134.53,172.65,0.00,1.00,0.0015
2.22,135.31,172.50,0.00,1.10,0.0021
2.22,133.50,172.34,0.00,0.88,0.0011
2.23,134.14,172.57,0.00,4.66,0.0015
2.24,134.00,172.37,0.00,0.60,0.0013
2.25,133.50,172.14,0.00,0.07,0.0021
2.26,130.14,172.11,0.00,1.85,0.0015
2.26,131.01,172.19,0.00,2.84,0.0019
2.27,129.28,172.03,0.00,0.62,0.0020
2.28,126.37,172.29,0.00,4.62,0.0020
2.29,126.14,172.46,0.00,4.01,0.0012
2.31,119.47,172.52,0.00,3.08,0.0012
2.32,120.57,172.61,0.00,3.42,0.0013
2.32,121.26,172.83,0.00,4.75,0.0020
2.33,123.35,172.66,0.00,1.12,0.0019
2.34,123.22,172.46,0.00,0.70,0.0014
2.35,123.59,172.67,0.00,4.55,0.0017
2.35,124.33,172.64,0.00,2.42,0.0020
2.36,124.17,172.80,0.00,4.23,0.0019
2.37,125.40,172.68,0.00,1.58,0.0020
2.38,124.31,172.73,0.00,3.22,0.0013
2.39,123.84,172.80,0.00,3.40,0.0018
2.39,123.50,172.77,0.00,2.49,0.0017
2.40,123.87,172.84,0.00,3.51,0.0014
2.41,125.00,172.63,0.00,0.68,0.0018
2.42,125.47,172.46,0.00,0.91,0.0015
2.42,127.52,172.23,0.00,0.17,0.0018
2.43,129.12,172.43,0.00,4.24,0.0018
2.44,128.19,172.34,0.00,1.58,0.0020
2.45,128.89,172.35,0.00,2.39,0.0018
2.45,130.53,172.17,0.00,0.52,0.0020
2.46,131.56,172.42,0.00,4.75,0.0019
2.47,133.08,172.29,0.00,1.06,0.0016
2.47,134.83,172.21,0.00,1.46,0.0019
2.48,133.30,172.23,0.00,2.46,0.0015
2.49,132.61,172.02,0.00,0.16,0.0016
2.50,127.18,172.21,0.00,3.92,0.0017
2.51,128.72,172.15,0.00,1.53,0.0020
2.52,128.15,172.13,0.00,1.95,0.0020
2.53,129.67,172.24,0.00,3.23,0.0017
2.53,130.43,172.30,0.00,2.84,0.0015
2.54,131.99,172.28,0.00,2.10,0.0017
2.55,131.54,172.37,0.00,3.23,0.0014
2.56,132.29,172.32,0.00,1.85,0.0014
2.56,132.97,172.43,0.00,3.44,0.0020
2.57,132.15,172.40,0.00,2.13,0.0018
2.58,131.50,172.33,0.00,1.73,0.0015
2.59,132.34,172.54,0.00,4.41,0.0019
2.59,133.87,172.61,0.00,3.23,0.0020
2.60,135.39,172.51,0.00,1.63,0.0018
2.61,135.98,172.75,0.00,4.92,0.0017
2.62,132.82,172.64,0.00,1.67,0.0012
2.62,131.57,172.84,0.00,4.59,0.0012
2.63,130.25,172.71,0.00,1.50,0.0019
2.64,131.25,172.49,0.00,0.59,0.0015
2.65,131.21,172.47,0.00,2.29,0.0014
2.65,132.58,172.70,0.00,4.75,0.0018
2.66,132.15,172.50,0.00,0.64,0.0017
2.67,133.45,172.51,0.00,2.63,0.0015
2.68,130.40,172.47,0.00,2.09,0.0021
2.69,130.61,172.70,0.00,4.76,0.0014
2.69,132.01,172.63,0.00,2.04,0.0020
2.71,126.03,172.64,0.00,2.75,0.0016
2.71,128.29,172.83,0.00,4.51,0.0019
2.72,130.53,172.66,0.00,1.10,0.0016
2.73,131.52,172.86,0.00,4.73,0.0014
2.73,131.46,173.03,0.00,4.50,0.0020
2.74,132.16,172.82,0.00,1.00,0.0021
2.75,133.16,172.98,0.00,4.34,0.0014
2.76,133.78,172.96,0.00,2.86,0.0013
2.76,135.34,172.93,0.00,2.64,0.0017
2.77,136.07,173.07,0.00,4.34,0.0019
2.78,135.99,173.01,0.00,2.45,0.0020
2.79,135.00,172.98,0.00,2.68,0.0020
2.79,134.80,172.73,0.00,0.49,0.0021
2.80,134.13,172.93,0.00,4.77,0.0018
2.81,132.63,173.02,0.00,3.82,0.0017
2.82,129.29,172.85,0.00,1.33,0.0016
2.83,129.19,173.02,0.00,4.52,0.0017
2.83,129.50,172.72,0.00,0.03,0.0015
2.84,130.54,172.46,0.00,0.09,0.0015
2.85,129.40,172.44,0.00,2.32,0.0013
2.86,130.65,172.38,0.00,1.80,0.0013
2.86,131.82,172.41,0.00,2.69,0.0013
2.87,132.89,172.57,0.00,3.97,0.0018
2.88,130.86,172.71,0.00,3.96,0.0019
2.89,132.33,172.87,0.00,4.31,0.0015
2.89,133.27,172.71,0.00,1.29,0.0016
2.91,126.75,172.47,0.00,0.36,0.0020
2.92,129.36,172.65,0.00,4.21,0.0020
2.92,129.49,172.81,0.00,4.25,0.0015
2.93,130.31,172.53,0.00,0.05,0.0014
2.94,130.02,172.64,0.00,3.58,0.0020
2.95,130.55,172.81,0.00,4.35,0.0013
2.95,131.86,172.69,0.00,1.57,0.0013
2.96,132.68,172.85,0.00,4.38,0.0017
2.97,133.42,172.63,0.00,0.57,0.0015
2.97,132.53,172.63,0.00,2.68,0.0018
2.98,132.33,172.85,0.00,4.77,0.0015
2.99,132.65,172.61,0.00,0.48,0.0012
3.00,131.80,172.43,0.00,0.84,0.0015
3.01,131.09,172.53,0.00,3.46,0.0016
3.01,132.46,172.47,0.00,1.89,0.0019
3.02,133.62,172.44,0.00,2.20,0.0018
3.03,134.62,172.64,0.00,4.38,0.0014
3.03,134.41,172.75,0.00,3.79,0.0013
3.04,135.67,172.51,0.00,0.28,0.0015
3.05,133.34,172.57,0.00,3.14,0.0016
3.06,133.22,172.69,0.00,3.73,0.0017
3.06,135.12,172.45,0.00,0.35,0.0017
3.07,137.05,165.13,0.50,4.23,0.0012
3.09,127.85,158.19,0.50,0.70,0.0014
3.12,119.40,152.27,0.50,4.05,0.0007
3.14,111.16,146.74,0.50,1.98,0.0005
3.17,104.33,141.93,0.50,3.61,0.0005
3.19,98.14,137.46,0.50,2.26,0.0006
3.21,92.45,133.46,0.50,2.39,0.0005
3.24,87.75,129.67,0.50,0.60,0.0001
3.26,83.08,126.30,0.50,0.98,0.0004
3.28,78.90,123.31,0.50,1.43,0.0008
3.31,75.05,120.79,0.50,3.09,0.0002
3.33,71.92,118.22,0.50,0.11,0.0004
3.36,67.96,116.28,0.50,3.82,0.0002
3.39,65.31,114.45,0.50,2.93,0.0000
3.41,62.94,112.65,0.50,1.47,0.0004
3.43,60.95,111.32,0.50,4.39,0.0007
3.46,59.01,109.86,0.50,1.73,0.0003
3.48,57.23,108.85,0.50,4.72,0.0000
3.51,55.09,107.84,0.50,3.74,0.0009
3.54,53.64,106.98,0.50,4.21,0.0005
3.57,51.29,105.93,0.50,1.50,0.0008
3.60,49.74,104.84,0.50,0.05,0.0010
3.62,48.49,104.07,0.50,2.09,0.0004
3.65,47.50,103.42,0.50,2.57,0.0007
3.68,46.56,102.61,0.50,0.39,0.0001
3.70,45.51,102.23,0.50,3.79,0.0001
3.73,44.70,101.81,0.50,3.02,0.0000
3.76,43.92,101.54,0.50,4.11,0.0006
3.79,42.33,101.07,0.50,1.83,0.0002
3.82,41.84,100.62,0.50,1.55,0.0002
3.84,41.78,100.16,0.50,1.05,0.0004
3.87,41.78,100.04,0.50,3.97,0.0006
3.89,42.13,99.94,0.50,4.01,0.0005
3.91,42.17,99.93,0.50,4.88,0.0009
3.94,41.48,99.87,0.50,4.33,0.0001
3.97,41.21,99.83,0.50,4.47,0.0004
4.00,40.34,99.44,0.50,0.89,0.0005
4.02,40.46,99.28,0.50,2.88,0.0008
4.05,40.72,99.20,0.50,3.43,0.0002
4.07,40.83,99.25,0.50,4.78,0.0007
4.09,41.16,99.25,0.50,4.17,0.0005
4.12,41.19,99.08,0.50,2.55,0.0007
4.14,41.33,98.77,0.50,0.98,0.0009
4.16,41.38,98.59,0.50,1.99,0.0006
4.19,41.84,98.46,0.50,2.35,0.0006
4.21,41.23,98.44,0.50,3.24,0.0005
4.24,41.30,98.33,0.50,2.30,0.0006
4.26,41.74,98.12,0.50,1.24,0.0000
4.28,41.78,97.87,0.50,0.60,0.0000
4.31,42.07,97.86,0.50,2.77,0.0004
4.33,42.10,97.59,0.50,0.15,0.0007
4.35,42.47,97.80,0.50,4.68,0.0002
4.37,42.80,97.73,0.50,2.18,0.0005
4.39,43.08,97.60,0.50,1.43,0.0007
4.42,42.52,97.81,0.50,4.68,0.0010
4.44,42.85,97.88,0.50,3.47,0.0002
4.47,43.04,97.89,0.50,3.05,0.0004
4.49,43.39,97.87,0.50,2.65,0.0003
4.51,43.42,97.79,0.50,2.09,0.0008
4.53,43.74,97.68,0.50,1.65,0.0007
4.55,43.99,97.46,0.50,0.51,0.0002
4.57,44.22,97.29,0.50,0.75,0.0003
4.60,44.38,97.35,0.50,2.93,0.0004
4.63,43.36,97.22,0.50,1.00,0.0008
4.65,43.64,97.38,0.50,3.87,0.0005
4.67,43.54,97.17,0.50,0.21,0.0005
4.69,43.53,96.98,0.50,0.33,0.0004
4.71,43.83,96.99,0.50,2.02,0.0006
4.74,43.70,97.18,0.50,3.88,0.0009
4.76,43.51,97.45,0.50,4.91,0.0004
4.78,43.84,97.54,0.50,3.32,0.0007
4.81,43.80,97.32,0.50,0.38,0.0006
4.84,42.85,97.35,0.50,2.59,0.0009
4.86,42.69,97.22,0.50,1.04,0.0008
4.88,42.62,97.37,0.50,3.76,0.0010
4.91,42.46,97.25,0.50,1.19,0.0009
4.93,42.68,97.29,0.50,2.58,0.0009
4.95,43.05,97.10,0.50,0.42,0.0003
4.97,43.25,97.34,0.50,4.50,0.0007
5.00,43.30,97.57,0.50,4.60,0.0003
5.02,42.99,97.31,0.50,0.01,0.0003
5.05,42.00,97.50,0.50,4.17,0.0004
