Timestamp(ms),Elapsed(s),IsURSActive,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LocalLag(ms),LocalRatio,EdgeRatio,Reward,Phase,SyncRTT,SyncLag,CubeCount,ParticleRate,Temperature(C)
63912210608288,0.000,1,60.00,5.0,10.8,0.00,0.000,14.53,0.500,0.500,0.0000,P1: Baseline (No Stress),0,0,0,0,38.7
63912210608769,0.000,1,60.00,5.0,11.2,0.19,0.000,15.18,0.500,0.500,0.0000,P1: Baseline (No Stress),0,0,15,250,38.7
63912210608849,0.020,1,60.00,5.0,12.1,0.19,0.000,16.40,0.536,0.464,0.4153,P1: Baseline (No Stress),0,0,15,250,38.7
63912210608947,0.112,1,60.00,5.0,10.2,0.21,0.000,13.89,0.449,0.551,0.9220,P1: Baseline (No Stress),0,0,16,232,38.7
63912210609038,0.211,1,60.00,5.0,12.0,0.74,0.000,15.97,0.518,0.482,1.3795,P1: Baseline (No Stress),0,0,13,275,38.7
63912210609080,0.299,1,60.00,5.0,12.1,1.20,0.000,15.76,0.518,0.482,1.3864,P1: Baseline (No Stress),0,0,16,241,38.7
63912210609173,0.341,1,60.00,5.0,9.6,0.72,0.000,12.68,0.382,0.618,1.8900,P1: Baseline (No Stress),0,0,16,241,38.7
63912210609200,0.424,1,60.00,5.0,8.7,0.52,0.000,10.89,0.345,0.655,2.4004,P1: Baseline (No Stress),0,0,11,309,38.7
63912210609225,0.452,1,60.00,5.0,8.8,0.50,0.000,11.35,0.345,0.655,2.4040,P1: Baseline (No Stress),0,0,10,327,38.7
63912210609251,0.479,1,60.00,5.0,8.8,0.61,0.000,10.96,0.345,0.655,2.4040,P1: Baseline (No Stress),0,0,10,327,38.7
63912210609324,0.507,1,60.00,5.0,8.3,0.68,0.000,9.75,0.289,0.711,2.9260,P1: Baseline (No Stress),0,0,10,327,38.7
63912210609350,0.578,1,60.00,5.0,8.4,0.70,0.000,10.01,0.289,0.711,2.9317,P1: Baseline (No Stress),0,0,9,356,38.7
63912210609428,0.605,1,46.81,5.0,11.8,0.87,0.000,15.75,0.499,0.501,3.2158,P1: Baseline (No Stress),0,0,9,356,38.7
63912210609457,0.680,1,43.71,6.4,12.6,0.95,0.000,15.93,0.499,0.501,3.2218,P1: Baseline (No Stress),0,0,15,250,38.7
63912210609487,0.708,1,38.58,9.4,14.7,0.82,0.000,16.83,0.541,0.459,3.5246,P1: Baseline (No Stress),0,0,15,250,38.7
63912210609518,0.743,1,37.43,10.3,14.5,0.68,0.000,15.83,0.541,0.459,3.5244,P1: Baseline (No Stress),0,0,16,230,38.7
63912210609547,0.770,1,36.41,11.3,14.9,0.47,0.000,15.86,0.541,0.459,3.5209,P1: Baseline (No Stress),0,0,16,230,38.7
63912210609575,0.798,1,35.82,12.0,15.6,0.30,0.000,16.65,0.541,0.459,3.5192,P1: Baseline (No Stress),0,0,16,230,38.7
63912210609665,0.826,1,35.36,12.6,13.7,0.20,0.000,12.06,0.387,0.613,3.8881,P1: Baseline (No Stress),0,0,16,230,38.7
63912210609735,0.916,1,35.01,13.2,14.0,0.23,0.000,10.92,0.324,0.676,4.2626,P1: Baseline (No Stress),0,0,12,307,38.7
63912210609760,0.986,1,34.38,14.6,15.0,0.75,0.000,10.13,0.324,0.676,4.2668,P1: Baseline (No Stress),0,0,10,338,38.7
63912210609829,1.011,1,34.15,15.5,16.2,0.97,0.000,13.22,0.434,0.566,4.6101,P1: Baseline (No Stress),0,0,10,338,38.7
63912210609856,1.080,1,34.11,15.7,16.5,0.93,0.000,13.78,0.434,0.566,4.6213,P1: Baseline (No Stress),0,0,13,283,38.7
63912210609939,1.109,1,34.02,16.3,16.2,0.71,0.000,11.60,0.376,0.624,4.9856,P1: Baseline (No Stress),0,0,13,283,38.7
63912210609975,1.198,1,32.11,16.4,16.6,0.70,0.000,12.48,0.376,0.624,4.9802,P1: Baseline (No Stress),0,0,11,312,38.7
63912210610052,1.231,1,28.71,12.1,14.6,0.70,0.000,14.40,0.465,0.535,5.2855,P1: Baseline (No Stress),0,0,11,312,38.7
63912210610080,1.303,1,28.05,10.9,13.9,0.70,0.000,14.27,0.465,0.535,5.2787,P1: Baseline (No Stress),0,0,14,268,38.7
63912210610119,1.343,1,27.17,8.6,13.2,0.70,0.000,15.16,0.478,0.522,5.5622,P1: Baseline (No Stress),0,0,14,268,38.7
63912210610144,1.369,1,26.91,7.7,12.2,0.70,0.000,14.13,0.478,0.522,5.5582,P1: Baseline (No Stress),0,0,14,261,38.7
63912210610173,1.397,1,26.78,7.1,12.5,0.70,0.000,15.35,0.478,0.522,5.5560,P1: Baseline (No Stress),0,0,14,261,38.7
63912210610223,1.433,1,26.67,6.6,11.4,0.70,0.000,14.00,0.449,0.551,5.8417,P1: Baseline (No Stress),0,0,14,261,38.7
63912210610258,1.481,1,26.57,5.9,11.2,0.70,0.000,14.42,0.449,0.551,5.8397,P1: Baseline (No Stress),0,0,13,276,38.7
63912210610295,1.517,1,26.49,5.3,10.7,0.70,0.000,14.27,0.441,0.559,6.1210,P1: Baseline (No Stress),0,0,13,276,38.7
63912210610335,1.561,1,26.45,4.8,10.4,0.70,0.000,14.08,0.441,0.559,6.1209,P1: Baseline (No Stress),0,0,13,276,38.7
63912210610362,1.589,1,26.41,4.4,9.9,0.60,0.000,13.72,0.441,0.559,6.1207,P1: Baseline (No Stress),0,0,13,276,38.7
63912210610395,1.618,1,26.40,4.1,8.2,0.49,0.000,11.32,0.343,0.657,6.4240,P1: Baseline (No Stress),0,0,13,276,38.7
63912210610459,1.686,1,26.38,3.9,7.8,0.42,0.000,10.78,0.343,0.657,6.4338,P1: Baseline (No Stress),0,0,10,329,38.7
63912210610490,1.719,1,26.95,3.4,8.3,0.61,0.000,12.04,0.384,0.616,6.7343,P1: Baseline (No Stress),0,0,10,329,38.7
63912210610525,1.754,1,27.12,3.3,8.2,0.77,0.000,11.71,0.384,0.616,6.7395,P1: Baseline (No Stress),0,0,12,308,38.7
63912210610560,1.788,1,27.24,3.1,8.4,0.85,0.000,12.41,0.384,0.616,6.7402,P1: Baseline (No Stress),0,0,12,308,38.7
63912210610592,1.821,1,27.33,3.0,8.1,0.77,0.000,12.20,0.367,0.633,7.0506,P1: Baseline (No Stress),0,0,12,308,38.7
63912210610623,1.852,1,27.39,2.8,7.8,0.63,0.000,11.74,0.367,0.633,7.0526,P1: Baseline (No Stress),0,0,11,317,38.7
63912210610652,1.882,1,27.43,2.7,7.5,0.55,0.000,11.18,0.367,0.633,7.0529,P1: Baseline (No Stress),0,0,11,317,38.7
63912210610684,1.911,1,27.46,2.7,7.9,0.60,0.000,12.32,0.371,0.629,7.3644,P1: Baseline (No Stress),0,0,11,317,38.7
63912210610710,1.940,1,27.48,2.6,7.5,0.73,0.000,11.33,0.371,0.629,7.3649,P1: Baseline (No Stress),0,0,11,317,38.7
63912210610740,1.968,1,27.50,2.5,7.8,0.91,0.000,11.72,0.371,0.629,7.3650,P1: Baseline (No Stress),0,0,11,317,38.7
63912210610766,1.996,1,27.51,2.5,7.8,1.09,0.000,11.54,0.371,0.629,7.3651,P1: Baseline (No Stress),0,0,11,317,38.7
63912210610803,2.024,1,27.52,2.4,9.9,1.20,0.000,14.57,0.475,0.525,7.6320,P1: Baseline (No Stress),0,0,11,317,38.7
63912210610866,2.090,1,27.52,2.4,10.2,1.17,0.000,15.28,0.475,0.525,7.6425,P1: Baseline (No Stress),0,0,14,262,38.7
63912210610897,2.120,1,27.53,2.3,8.1,0.77,0.000,12.72,0.394,0.606,7.9395,P1: Baseline (No Stress),0,0,14,262,38.7
63912210610959,2.186,1,27.54,2.3,7.6,0.61,0.000,11.92,0.394,0.606,7.9476,P1: Baseline (No Stress),0,0,12,303,38.7
63912210610997,2.223,1,27.54,2.2,6.0,0.22,0.000,9.93,0.292,0.708,8.2695,P1: Baseline (No Stress),0,0,12,303,38.7
63912210611078,2.308,1,28.07,2.2,5.5,0.22,0.000,8.66,0.250,0.750,8.6218,P1: Baseline (No Stress),0,0,9,354,38.7
63912210611098,2.331,1,28.76,2.4,6.0,0.72,0.000,8.79,0.250,0.750,8.6302,P1: Baseline (No Stress),0,0,7,375,38.7
63912210611147,2.380,1,28.86,2.5,6.1,0.85,0.000,8.32,0.250,0.750,8.6309,P1: Baseline (No Stress),0,0,7,375,38.7
63912210611196,2.416,1,29.02,2.6,9.5,1.15,0.000,13.93,0.463,0.537,8.9016,P1: Baseline (No Stress),0,0,7,375,38.7
63912210611284,2.505,1,29.09,2.6,7.7,1.19,0.000,11.23,0.352,0.648,9.2390,P1: Baseline (No Stress),0,0,14,269,38.7
63912210611345,2.574,1,29.20,2.7,7.4,0.70,0.000,10.98,0.352,0.648,9.2507,P1: Baseline (No Stress),0,0,11,324,38.7
63912210611382,2.608,1,29.23,2.8,6.2,0.43,0.000,8.89,0.271,0.729,9.5893,P1: Baseline (No Stress),0,0,11,324,38.7
63912210611483,2.714,1,29.24,2.8,5.8,0.45,0.000,7.63,0.225,0.775,9.9464,P1: Baseline (No Stress),0,0,8,364,38.7
63912210611506,2.740,1,29.26,2.9,6.2,0.70,0.000,8.12,0.225,0.775,9.9512,P1: Baseline (No Stress),0,0,7,388,38.7
63912210611559,2.791,1,29.26,2.9,6.1,0.70,0.000,7.73,0.225,0.775,9.9512,P1: Baseline (No Stress),0,0,7,388,38.7
63912210611619,2.842,1,26.98,2.9,7.3,0.70,0.000,10.63,0.339,0.661,10.2688,P1: Baseline (No Stress),0,0,7,388,38.7
63912210611687,2.916,1,25.58,2.7,7.0,0.70,0.000,10.33,0.324,0.676,10.5720,P1: Baseline (No Stress),0,0,10,331,38.7
63912210611721,2.950,1,24.50,2.6,6.9,0.70,0.000,10.42,0.324,0.676,10.5670,P1: Baseline (No Stress),0,0,10,338,38.7
63912210611755,2.985,1,24.21,2.5,6.9,0.63,0.000,10.66,0.324,0.676,10.5653,P1: Baseline (No Stress),0,0,10,338,38.7
63912210611795,3.013,1,24.00,2.4,6.1,0.50,0.000,9.13,0.270,0.730,10.8753,P1: Baseline (No Stress),0,0,10,338,38.7
63912210611858,3.087,1,23.88,2.4,6.0,0.43,0.000,9.22,0.270,0.730,10.8799,P1: Baseline (No Stress),0,0,8,365,38.7
63912210611890,3.122,1,23.68,2.3,6.1,0.61,0.000,9.46,0.271,0.729,11.1930,P1: Baseline (No Stress),0,0,8,365,38.7
63912210611931,3.162,1,23.63,2.2,6.2,0.78,0.000,9.47,0.271,0.729,11.1927,P1: Baseline (No Stress),0,0,8,365,38.7
63912210611966,3.198,1,23.59,2.2,6.3,0.95,0.000,9.25,0.271,0.729,11.1925,P1: Baseline (No Stress),0,0,8,365,38.7
63912210611994,3.218,1,23.56,2.2,7.5,0.96,0.000,11.75,0.360,0.640,11.4750,P1: Baseline (No Stress),0,0,8,365,38.7
63912210612070,3.298,1,23.55,2.2,7.5,0.91,0.000,11.81,0.360,0.640,11.4838,P1: Baseline (No Stress),0,0,11,320,38.7
63912210612099,3.325,1,23.53,2.1,6.2,0.70,0.000,9.60,0.288,0.712,11.7928,P1: Baseline (No Stress),0,0,11,320,38.7
63912210612166,3.396,1,23.95,2.1,6.3,0.71,0.000,9.85,0.288,0.712,11.7953,P1: Baseline (No Stress),0,0,9,356,38.7
63912210612198,3.423,1,24.64,2.1,7.7,0.93,0.000,11.89,0.389,0.611,12.0747,P1: Baseline (No Stress),0,0,9,356,38.7
63912210612265,3.493,1,24.79,2.1,7.9,0.97,0.000,12.30,0.389,0.611,12.0857,P1: Baseline (No Stress),0,0,12,306,38.7
63912210612290,3.520,1,25.04,2.1,7.3,0.76,0.000,11.79,0.355,0.645,12.3840,P1: Baseline (No Stress),0,0,12,306,38.7
63912210612325,3.555,1,25.10,2.0,7.2,0.62,0.000,11.80,0.355,0.645,12.3877,P1: Baseline (No Stress),0,0,11,322,38.7
63912210612360,3.590,1,25.16,2.0,6.9,0.47,0.000,11.22,0.355,0.645,12.3880,P1: Baseline (No Stress),0,0,11,322,38.7
63912210612394,3.623,1,25.20,2.0,5.3,0.42,0.000,7.91,0.231,0.769,12.7042,P1: Baseline (No Stress),0,0,11,322,38.7
63912210612469,3.701,1,25.23,2.0,5.3,0.50,0.000,7.84,0.231,0.769,12.7169,P1: Baseline (No Stress),0,0,7,385,38.7
63912210612500,3.724,1,25.26,2.0,7.2,0.70,0.000,11.76,0.355,0.645,13.0074,P1: Baseline (No Stress),0,0,7,385,38.7
63912210612571,3.799,1,25.27,2.0,7.2,0.71,0.000,11.61,0.355,0.645,13.0199,P1: Baseline (No Stress),0,0,11,323,38.7
63912210612604,3.826,1,25.28,2.0,8.4,0.94,0.000,12.95,0.431,0.569,13.2997,P1: Baseline (No Stress),0,0,11,323,38.7
63912210612670,3.897,1,25.29,2.0,8.6,0.97,0.000,13.47,0.431,0.569,13.2997,P1: Baseline (No Stress),0,0,13,285,38.7
63912210612695,3.924,1,26.61,2.0,7.7,0.73,0.000,12.05,0.398,0.602,13.5947,P1: Baseline (No Stress),0,0,13,285,38.7
63912210612730,3.958,1,26.91,2.0,7.9,0.61,0.000,12.81,0.398,0.602,13.5997,P1: Baseline (No Stress),0,0,12,301,38.7
63912210612764,3.993,1,27.19,2.0,7.7,0.55,0.000,12.50,0.398,0.602,13.6014,P1: Baseline (No Stress),0,0,12,301,38.7
63912210612798,4.026,1,27.39,2.0,8.1,0.65,0.000,12.75,0.430,0.570,13.8941,P1: Baseline (No Stress),0,0,12,301,38.7
63912210612828,4.057,1,27.53,2.0,8.6,0.79,0.000,13.58,0.430,0.570,13.8950,P1: Baseline (No Stress),0,0,13,285,38.7
63912210612856,4.084,1,27.62,2.0,8.5,0.85,0.000,13.33,0.430,0.570,13.8955,P1: Baseline (No Stress),0,0,13,285,38.7
63912210612889,4.112,1,27.68,2.0,7.5,0.79,0.000,12.01,0.369,0.631,14.2034,P1: Baseline (No Stress),0,0,13,285,38.7
63912210612959,4.187,1,27.73,2.0,7.2,0.66,0.000,11.60,0.369,0.631,14.2098,P1: Baseline (No Stress),0,0,11,316,38.7
63912210612990,4.219,1,27.81,2.0,7.6,0.63,0.000,12.15,0.390,0.610,14.5157,P1: Baseline (No Stress),0,0,11,316,38.7
