Timestamp(ms),Elapsed(s),IsURSActive,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LocalLag(ms),LocalRatio,EdgeRatio,Reward,Phase,SyncRTT,SyncLag,CubeCount,ParticleRate,Temperature(C)
63912210301821,0.000,1,60.00,5.0,10.9,0.00,0.000,14.79,0.500,0.500,0.0000,P1: Baseline (No Stress),0,0,0,0,35.7
63912210302550,0.000,1,60.00,5.0,11.1,0.49,0.000,14.78,0.500,0.500,0.0000,P1: Baseline (No Stress),0,0,15,250,35.7
63912210302601,0.020,1,60.00,5.0,12.7,0.49,0.000,16.54,0.577,0.423,0.3938,P1: Baseline (No Stress),0,0,15,250,35.7
63912210302690,0.111,1,60.00,5.0,10.9,0.35,0.000,14.65,0.489,0.511,0.8900,P1: Baseline (No Stress),0,0,17,211,35.7
63912210302781,0.206,1,60.00,5.0,9.0,0.37,0.000,11.78,0.378,0.622,1.3927,P1: Baseline (No Stress),0,0,15,256,35.7
63912210302848,0.283,1,60.00,5.0,9.4,0.95,0.000,11.73,0.378,0.622,1.4038,P1: Baseline (No Stress),0,0,11,311,35.7
63912210302901,0.317,1,60.00,5.0,17.2,1.17,0.000,20.97,0.705,0.295,1.7427,P1: Baseline (No Stress),0,0,11,311,35.7
63912210303001,0.422,1,60.00,5.0,13.1,0.98,0.000,17.15,0.563,0.437,2.1986,P1: Baseline (No Stress),0,0,21,147,35.7
63912210303073,0.501,1,60.00,5.0,13.1,0.45,0.000,17.55,0.563,0.437,2.2128,P1: Baseline (No Stress),0,0,17,218,35.7
63912210303109,0.536,1,60.00,5.0,11.1,0.57,0.000,14.88,0.484,0.516,2.6819,P1: Baseline (No Stress),0,0,17,218,35.7
63912210303204,0.626,1,51.80,5.0,12.8,0.68,0.000,16.93,0.553,0.447,3.0254,P1: Baseline (No Stress),0,0,15,258,35.7
63912210303292,0.713,1,39.94,4.1,15.2,0.82,0.000,19.82,0.644,0.356,3.2259,P1: Baseline (No Stress),0,0,17,224,35.7
63912210303371,0.798,1,35.27,3.5,14.7,0.93,0.000,19.20,0.644,0.356,3.2070,P1: Baseline (No Stress),0,0,19,178,35.7
63912210303409,0.837,1,33.33,3.0,15.1,0.50,0.000,20.18,0.655,0.345,3.4434,P1: Baseline (No Stress),0,0,19,178,35.7
63912210303449,0.879,1,32.86,2.9,14.4,0.26,0.000,19.31,0.655,0.345,3.4406,P1: Baseline (No Stress),0,0,20,173,35.7
63912210303487,0.918,1,32.53,2.8,12.1,0.21,0.000,16.96,0.594,0.406,3.6917,P1: Baseline (No Stress),0,0,20,173,35.7
63912210303529,0.960,1,32.32,2.7,12.6,0.42,0.000,17.80,0.594,0.406,3.6965,P1: Baseline (No Stress),0,0,18,203,35.7
63912210303562,0.993,1,32.18,2.6,12.7,0.68,0.000,17.82,0.594,0.406,3.6956,P1: Baseline (No Stress),0,0,18,203,35.7
63912210303609,1.028,1,32.09,2.5,19.5,0.84,0.000,23.14,0.793,0.207,3.8541,P1: Baseline (No Stress),0,0,18,203,35.7
63912210303688,1.111,1,32.03,2.4,13.2,0.96,0.000,18.35,0.602,0.398,4.0873,P1: Baseline (No Stress),0,0,24,103,36.5
63912210303772,1.196,1,31.95,2.3,13.1,0.79,0.000,18.43,0.602,0.398,4.1058,P1: Baseline (No Stress),0,0,18,199,36.5
63912210303868,1.245,1,25.76,2.2,16.4,0.70,0.000,21.22,0.705,0.295,4.2723,P1: Baseline (No Stress),0,0,18,199,36.5
63912210303956,1.331,1,24.00,2.4,13.8,0.70,0.000,18.84,0.635,0.365,4.4512,P1: Baseline (No Stress),0,0,21,148,36.5
63912210304004,1.429,1,22.37,2.5,13.4,0.70,0.000,18.29,0.623,0.377,4.6269,P1: Baseline (No Stress),0,0,19,182,36.5
63912210304046,1.475,1,21.63,2.7,13.1,0.70,0.000,17.79,0.623,0.377,4.6224,P1: Baseline (No Stress),0,0,19,189,36.5
63912210304161,1.518,1,21.47,2.7,12.4,0.70,0.000,17.63,0.567,0.433,4.8205,P1: Baseline (No Stress),0,0,19,189,36.5
63912210304200,1.627,1,21.37,2.8,11.7,0.70,0.000,16.82,0.547,0.453,5.0380,P1: Baseline (No Stress),0,0,17,216,36.5
63912210304229,1.660,1,21.25,2.9,11.6,0.57,0.000,16.68,0.547,0.453,5.0373,P1: Baseline (No Stress),0,0,16,227,36.5
63912210304258,1.688,1,21.23,2.9,11.8,0.46,0.000,17.19,0.547,0.453,5.0372,P1: Baseline (No Stress),0,0,16,227,36.5
