Wall time,Step,Value
1770649396.8700795,50000,6092.92236328125
1770649953.212101,100000,2831.313720703125
1770650520.5364962,150000,1585.2083740234375
1770651094.6162093,200000,1373.517333984375
1770651690.2603948,250000,1346.612060546875
1770652293.9744246,300000,1249.612060546875
1770652922.0478342,350000,981.548583984375
1770653549.5055728,400000,776.4822387695312
1770654179.0173638,450000,585.9358520507812
1770654844.889754,500000,400.0064392089844
1770655553.0996923,550000,258.31512451171875
1770656272.5527537,600000,164.72227478027344
1770656999.9289474,650000,100.98118591308594
1770657741.8324008,700000,53.34553146362305
1770658486.365294,750000,32.46886444091797
1770659238.0584302,800000,22.51830291748047
1770660006.237263,850000,14.405041694641113
1770660774.3044224,900000,11.472799301147461
1770661561.8597417,950000,9.573893547058105
1770662346.1910126,1000000,8.705121994018555
1770663139.6072192,1050000,8.481951713562012
1770663936.846963,1100000,7.766853332519531
1770664748.4095516,1150000,6.805627822875977
1770665550.704294,1200000,6.2224507331848145
1770666360.9990845,1250000,5.621540069580078
1770667182.0821168,1300000,5.212309837341309
1770667999.4808443,1350000,4.62120246887207
1770668825.0270605,1400000,4.098537445068359
1770669645.5060813,1450000,3.76426362991333
1770670470.6389608,1500000,3.3690474033355713
1770671298.8151934,1550000,3.200225353240967
1770672121.6437821,1600000,2.8663811683654785
1770672947.6248622,1650000,2.6393346786499023
1770673772.086421,1700000,2.667591094970703
1770674605.6181314,1750000,2.1880106925964355
1770675426.3993592,1800000,2.0860278606414795
1770676258.5576234,1850000,1.8173718452453613
1770677084.107385,1900000,1.7431844472885132
1770677916.0022995,1950000,1.4592323303222656
1770678741.894068,2000000,1.372344732284546
1770679567.4540374,2050000,1.1566294431686401
1770680397.1046581,2100000,0.9489408731460571
1770681227.0470448,2150000,0.9005206227302551
