Wall time,Step,Value
1770988189.7829385,50000,0.17287610471248627
1770988539.9328039,100000,0.1694420725107193
1770988914.658926,150000,0.17802534997463226
1770989318.2726808,200000,0.15081392228603363
1770989736.233159,250000,0.14116592705249786
1770990177.512893,300000,0.12926706671714783
1770990634.080529,350000,0.12185200303792953
1770991082.7178662,400000,0.1275148242712021
1770991530.6349623,450000,0.12858906388282776
1770991983.4503193,500000,0.12366271764039993
1770992420.6512873,550000,0.15183889865875244
